"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","cluster","ClusteringCoefficient","Degree","degree.layout","EC","Eccentricity","gene_id","gene_product_name","IsSingleNode","locus_tag","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.68421053","0.0","0.37254902","44","1.0","2","2","","5","637671043","heat shock protein a","false","SAR11_0181","C134_0181_a_at","5.5","2","0","0","0.66315789","false","0","C134_0181_a_at","0","0.78571429"
"1.94736842","0.0","0.51351351","8","1.0","4","4","","4","637671064","YadG-like ABC transporter protein","false","SAR11_0201","C134_0201_a_at","9.0","4","0","0","0.81052632","false","0","C134_0201_a_at","0","0.52941176"
"2.32544379","3.3513E-4","0.43002545","3","0.62222222","10","10","","4","637671071","50S ribosomal protein L28","false","SAR11_0208","C134_0208_at","39.1","10","0","0","0.66863905","false","0","C134_0208_at","92","0.34910714"
"1.66176471","0.01302633","0.60176991","4","0.71384615","26","26","","3","637671074","potassium uptake protein","false","SAR11_0211","C134_0211_at","26.61538462","26","0","0","0.83455882","false","0","C134_0211_at","696","0.40946746"
"1.96428571","0.0","0.50909091","5","1.0","3","3","","3","637671075","muropeptide permease","false","SAR11_0213","C134_0213_a_at","16.66666667","3","0","0","0.75892857","false","0","C134_0213_a_at","0","0.64102564"
"1.72093023","0.00636178","0.58108108","0","0.57051282","40","40","","3","637671076","multi-domain protein","false","SAR11_0214","C134_0214_a_at","41.475","40","0","0","0.81976744","false","0","C134_0214_a_at","1756","0.3318"
"1.0","1.0","1.0","0","0.0","2","2","EC:1.3.1.12","1","637671077","prephenate dehydrogenase","false","SAR11_0215","C134_0215_a_at","1.0","2","0","0","1.0","false","0","C134_0215_a_at","2","0.0"
"1.5","0.0","0.66666667","0","0.0","1","1","EC:2.3.1.-","2","637671014","lipid A biosynthesis lauroyl acyltransferase","false","SAR11_0151","C134_0151_at","2.0","1","0","0","0.75","false","0","C134_0151_at","0","0.0"
"1.96899225","5.0367E-4","0.50787402","3","0.77777778","19","19","EC:2.6.1.9","3","637671078","Histidinol-phosphate aminotransferase","false","SAR11_0216","C134_0216_at","46.94736842","19","0","0","0.75775194","false","0","C134_0216_at","172","0.41181902"
"1.77777778","0.0373124","0.5625","9","0.56363636","11","11","EC:2.3.1.31","3","637671079","homoserine O-acetyltransferase","false","SAR11_0217","C134_0217_a_at","9.63636364","11","0","0","0.80555556","false","0","C134_0217_a_at","106","0.43801653"
"1.77777778","0.01334813","0.5625","9","0.72222222","9","9","EC:6.3.5.5","3","637670905","Carbamoyl-phosphate synthase small chain","false","SAR11_0040","C134_0040_a_at","11.77777778","9","0","0","0.80555556","false","0","C134_0040_a_at","46","0.49074074"
"2.22222222","0.00332384","0.45","56","0.66666667","4","4","EC:3.1.2.6","3","637671081","Hydroxyacylglutathione hydrolase cytoplasmic","false","SAR11_0219","C134_0219_at","9.25","4","0","0","0.69444444","false","0","C134_0219_at","6","0.54411765"
"2.25925926","0.00120867","0.44262295","43","0.66666667","3","3","","3","637671031","amine oxidase","false","SAR11_0168","C134_0168_a_at","9.0","3","0","0","0.68518519","false","0","C134_0168_a_at","4","0.52941176"
"2.03703704","0.00325932","0.49090909","9","0.8","5","5","","3","637671080","methionine biosynthesis protein","false","SAR11_0218","C134_0218_at","12.4","5","0","0","0.74074074","false","0","C134_0218_at","12","0.59047619"
"1.58579882","0.02133799","0.63059701","2","0.46958305","77","77","","3","637671083","50S ribosomal protein L27","false","SAR11_0221","C134_0221_a_at","49.2987013","77","0","0","0.8535503","false","0","C134_0221_a_at","11930","0.30431297"
